Day, Time, Open Price, High Price, Low Price, Close Price
2020-07-08, 2020-07-08T16:09:38, 4069.9, 4069.9, 4069.9, 4069.9
2020-07-08, 2020-07-08T16:09:39, 4070.3, 4070.3, 4069.9, 4069.9
2020-07-08, 2020-07-08T16:09:41, None, None, None, None
2020-07-08, 2020-07-08T16:09:42, 4070.3, 4070.3, 4070.3, 4070.3
2020-07-08, 2020-07-08T16:09:43, 4070.4, 4070.4, 4070.3, 4070.3
2020-07-08, 2020-07-08T16:09:45, None, None, None, None
2020-07-08, 2020-07-08T16:09:47, 4069.9, 4069.9, 4069.9, 4069.9
2020-07-08, 2020-07-08T16:09:48, 4069.6, 4069.9, 4069.6, 4069.6
2020-07-08, 2020-07-08T16:09:49, 4069.3, 4069.3, 4069.3, 4069.3
2020-07-08, 2020-07-08T16:09:52, None, None, None, None
2020-07-08, 2020-07-08T16:09:53, 4068.9, 4069.3, 4068.9, 4069.3
2020-07-08, 2020-07-08T16:09:54, 4068.9, 4068.9, 4068.9, 4068.9
2020-07-08, 2020-07-08T16:09:56, 4069.3, 4069.3, 4069.3, 4069.3
2020-07-08, 2020-07-08T16:09:57, 4069.4, 4069.4, 4069.4, 4069.4
2020-07-08, 2020-07-08T16:09:58, 4069.6, 4070.3, 4069.6, 4070.3
2020-07-08, 2020-07-08T16:09:59, 4069.9, 4069.9, 4069.9, 4069.9
2020-07-08, 2020-07-08T16:10:00, None, None, None, None
2020-07-08, 2020-07-08T16:10:01, 4070.3, 4070.9, 4070.3, 4070.9
2020-07-08, 2020-07-08T16:10:03, 4071.3, 4071.4, 4071.3, 4071.4
2020-07-08, 2020-07-08T16:10:04, 4071.6, 4071.6, 4071.6, 4071.6
2020-07-08, 2020-07-08T16:10:05, None, None, None, None
2020-07-08, 2020-07-08T16:10:06, 4071.9, 4071.9, 4071.3, 4071.6
2020-07-08, 2020-07-08T16:10:07, 4071.9, 4072.3, 4071.6, 4071.6
2020-07-08, 2020-07-08T16:10:08, 4071.9, 4071.9, 4071.9, 4071.9
2020-07-08, 2020-07-08T16:10:12, None, None, None, None
2020-07-08, 2020-07-08T16:10:15, 4071.6, 4071.6, 4071.6, 4071.6
2020-07-08, 2020-07-08T16:10:16, 4071.9, 4071.9, 4071.9, 4071.9
2020-07-08, 2020-07-08T16:10:17, 4071.6, 4071.9, 4071.6, 4071.9
2020-07-08, 2020-07-08T16:10:19, 4072.3, 4072.3, 4071.6, 4071.9
2020-07-08, 2020-07-08T16:10:20, 4071.6, 4071.6, 4071.6, 4071.6
2020-07-08, 2020-07-08T16:10:21, 4071.9, 4071.9, 4071.4, 4071.4
2020-07-08, 2020-07-08T16:10:22, 4071.6, 4071.6, 4071.3, 4071.3
